Species,NumPores,Radius,AvgIPD,MinIPD,Area,Perimeter,MajAxis,MinAxis,Circularity,AspRatio,Eccentricity,Roundness,Solidity,Mean,St_Deviation,Skewness,Kurtosis
Buffalo,48,17.82919701,123.0132384,46.57520152,1033.041667,153.8820417,47.78020866,31.17015133,0.588600302,1.637795643,0.724234702,0.576921291,0.847433984,20.03788757,44.96528304,1.951249228,82.93059806
Buffalo,49,16.03084933,112.5552326,41.85852088,852.7755102,139.2915714,42.44595839,28.84975416,0.602580772,1.562161188,0.686445684,0.596477601,0.841939795,20.74460526,45.26630712,1.144019949,24.39023648
Buffalo,56,15.91660089,95.46679288,24.18043374,874.6964286,131.86975,41.90151582,28.03348945,0.675863203,1.579729595,0.6866416,0.622605484,0.864964789,22.10963821,47.44397449,1.094962046,8.467388911
Buffalo,46,16.76270397,123.0347333,43.3084441,928.1956522,149.9006739,44.89260861,29.59398991,0.581926183,1.625972129,0.720321296,0.583506545,0.840995323,18.60915756,42.76209096,1.028319557,11.52669335
Buffalo,38,17.57420712,141.2681909,83.76968396,1023.236842,147.0983421,47.04178971,30.05780244,0.617491847,1.604388842,0.743110471,0.578695052,0.855330193,17.44741821,42.67704795,0.452110192,5.18951757
Buffalo,99,13.7317219,63.71491343,24.18302161,669.8585859,114.9810505,40.57016327,22.28114738,0.616018055,1.982470043,0.789471022,0.498299073,0.830407993,14.49200516,38.25181085,4.630822778,418.3155923
Buffalo,38,13.49489322,127.1261355,38.67895308,616.5526316,117.9248947,39.76123498,21.89504693,0.582064097,1.912849044,0.803970198,0.488995041,0.833505228,16.09837723,38.80548685,2.934082312,309.4142584
Buffalo,140,11.746344,56.7177444,18.2371889,520.8214286,106.1106643,38.55249552,19.13526675,0.604149196,2.17802453,0.834999262,0.429205434,0.803425686,28.5566864,49.08454802,0.676851225,5.106351704
Buffalo,80,13.51713381,90.51845227,25.19866152,612.1875,122.6297875,45.09199186,21.96917451,0.549827707,2.176205395,0.834703058,0.416133092,0.780562935,20.00224915,43.49244438,3.485879285,280.7232203
Buffalo,85,11.01652114,84.814615,20.10312845,407.3529412,99.50187059,39.62198709,16.91110526,0.547941558,2.460868463,0.879863023,0.354743008,0.769112518,16.17002335,38.70138685,1.05831509,8.116064527
