BBTS1 (45),Buff,654.8019,20.40988,18.12006,17.12776,15.94464,15.30539,14.46091,13.7386,12.86565,12.47258
BBTS1 (46),Buff,626.4158,18.66301,18.34488,16.79241,15.80559,14.94511,14.06946,13.55699,12.69017,12.20278
BBTS1 (48),Buff,610.406,18.50192,15.88972,15.62982,14.9377,14.39576,14.05729,12.45816,12.09254,11.15571
BBTS1 (5),Buff,655.8626,16.9351,16.68237,16.09277,15.02301,13.84725,13.38866,12.86009,12.51373,12.01323
BBTS1 (50),Buff,587.507,15.82562,15.47248,14.59155,13.72778,12.86169,12.54543,11.96791,11.82262,11.60245
BBTS1 (52),Buff,592.4908,21.7314,19.45202,18.89944,17.19078,16.76777,16.27892,15.01713,13.98967,13.80893
BBTS1 (55),Buff,572.8647,16.69839,15.57125,15.07441,13.70147,13.42006,12.38253,12.11345,11.89323,11.77759
BBTS1 (56),Buff,632.4657,21.09057,18.79043,17.65914,16.96397,15.60464,15.33043,14.85857,13.66144,12.81562
BBTS1 (57),Buff,559.5331,21.1484,18.77574,18.62457,17.46257,16.62848,15.66063,14.5237,13.7328,13.21398
BBTS1 (58),Buff,577.1153,17.2549,14.93531,14.76513,13.89344,13.23392,12.98775,12.80857,11.83334,11.07973
BBTS1 (59),Buff,533.5661,19.45119,17.72584,15.64998,15.03328,14.0105,13.53332,12.71774,12.17887,10.99761
BBTS1 (6),Buff,640.1292,16.88491,16.71307,16.05264,14.96405,13.848,13.3923,12.84299,12.49846,11.99807
BBTS1 (61),Buff,590.9713,20.96768,19.79542,17.98405,16.49194,15.33855,14.99069,14.53405,13.49187,13.1578
BBTS1 (62),Buff,661.9482,25.24414,23.34663,22.87659,21.02217,19.9795,19.05592,18.75781,18.2249,16.88701
BBTS1 (63),Buff,605.8638,24.70023,23.72167,21.50584,20.84855,18.98914,18.61456,17.75721,15.73174,15.42573
BBTS1 (64),Buff,561.515,20.03716,16.89003,16.56215,15.29509,14.59957,14.18148,13.44203,12.99613,12.39036
BBTS1 (70),Buff,558.7831,18.78332,17.62686,14.81033,14.77144,14.25989,12.88972,12.64058,11.96546,11.8249
BBTS1 (76),Buff,599.598,16.05064,14.25203,13.47401,12.77455,12.4311,11.85053,11.6268,10.97164,10.13862
BBTS1 (77),Buff,614.185,16.61421,15.22363,14.98842,13.74941,12.66965,11.7964,11.1547,10.53153,10.324
BBTS1 (8),Buff,571.199,16.25814,15.50065,14.72388,14.08154,13.31257,12.48196,11.73906,11.25647,10.70229
BBTS1 (81),Buff,593.4098,15.55839,14.98684,13.7338,12.86507,12.52356,11.76376,11.69982,11.29629,10.95723
BBTS1 (88),Buff,554.5334,15.79042,14.10226,12.25105,12.13071,11.65908,11.28062,10.49716,10.23885,9.836895
BBTS1 (89),Buff,549.0376,15.79513,13.81357,13.19136,11.69969,11.53782,11.17188,10.68493,10.60568,10.33791
BBTS1 (95),Buff,591.1563,16.3402,14.98382,14.92034,13.93298,13.48515,12.67187,12.13759,11.78707,10.69258
BBTS1 (98),Buff,487.3353,13.89673,12.51853,11.17484,10.81551,10.43189,10.11341,9.580772,9.418805,9.085002
BBTS8 (1),Buff,460.2766,14.56538,12.77876,12.62299,11.58253,10.80922,10.34762,10.10752,9.922293,9.489464
BBTS8 (10),Buff,516.3291,13.32601,12.4268,11.80647,11.34302,11.06624,10.66079,10.53372,9.645222,9.601394
BBTS8 (100),Buff,477.534,15.40772,14.4538,14.08601,13.03422,12.23537,11.80375,11.10857,11.00505,10.85254
BBTS8 (11),Buff,525.7601,13.15924,12.61998,12.10287,11.64311,11.29816,11.13738,10.58613,10.51253,9.915068
BBTS8 (13),Buff,457.594,13.03986,12.74914,12.12939,11.52804,11.05403,10.94765,10.27327,9.976419,9.912509
BBTS8 (14),Buff,494.973,14.31482,14.00199,13.63879,12.36493,12.24513,11.29388,11.04702,10.33729,10.24449
BBTS8 (15),Buff,508.8497,15.95592,15.19113,13.95415,12.93765,12.45138,11.94835,11.63666,10.95362,10.61763
BBTS8 (17),Buff,511.3087,12.7546,11.70323,10.85466,10.83556,10.42587,10.04813,9.702809,9.272591,9.036368
BBTS8 (18),Buff,496.9334,19.42524,15.24968,14.73928,14.04549,13.31008,12.72049,12.48167,11.96028,11.27667
BBTS8 (2),Buff,466.1221,14.83659,13.09342,12.70682,11.68741,10.93634,10.86407,10.53397,9.963622,9.880841
BBTS8 (20),Buff,510.0268,14.35098,13.97778,12.58187,11.96016,11.84527,11.53066,10.9194,10.70499,10.37534
BBTS8 (21),Buff,510.385,12.67751,12.24504,11.09418,10.68953,10.58715,10.45099,10.09817,9.700802,9.183383
BBTS8 (22),Buff,513.6321,13.14669,12.56653,12.35307,11.82086,11.09328,10.67838,10.26641,9.987243,9.56374
BBTS8 (23),Buff,504.8887,12.5872,12.00887,11.29454,10.96089,10.21291,9.639437,9.178344,9.060364,8.953396
BBTS8 (24),Buff,504.1704,14.20486,13.77428,13.17175,12.09344,12.03187,11.33413,10.98846,10.87423,10.2718
BBTS8 (26),Buff,513.6643,13.00592,12.42663,11.99677,11.67782,11.00116,10.57544,10.38178,9.908497,9.569767
BBTS8 (27),Buff,471.1166,13.98805,12.21102,10.94615,10.6642,10.31717,10.08143,9.919798,9.858649,9.422941
BBTS8 (28),Buff,497.5872,13.37947,12.73767,12.32595,11.55693,11.2283,10.71182,10.28662,9.947064,9.764209
BBTS8 (29),Buff,497.463,16.0207,15.11154,14.74917,13.3281,12.7945,12.5766,11.37842,11.1231,10.90095
BBTS8 (3),Buff,475.0315,12.97097,12.80307,11.99083,11.68746,11.37675,10.87201,10.65079,10.35584,10.12124
BBTS8 (30),Buff,498.1619,15.42602,15.04355,14.14715,13.05409,12.97346,12.36429,11.78642,11.44288,11.1376
BBTS8 (32),Buff,480.8333,14.812,14.44935,12.26271,12.18775,11.55409,11.15913,10.69497,10.27057,9.949868
BBTS8 (33),Buff,486.7266,13.0237,12.21541,11.73101,11.43382,10.88144,10.68357,10.06544,9.553673,9.3603
BBTS8 (35),Buff,503.9855,16.38317,13.98235,12.6502,11.11474,11.00286,10.89544,10.31806,10.17467,9.456606
BBTS8 (36),Buff,478.6735,13.09706,12.62256,11.9997,11.73248,11.45692,10.98497,10.79027,10.18816,10.08051
BBTS8 (37),Buff,463.9311,13.12723,12.18691,11.42685,11.04221,10.63547,10.14265,9.73852,9.200116,8.94006
BBTS8 (38),Buff,512.1375,15.01709,14.02759,13.46773,12.49715,12.41205,11.78429,11.24156,11.03139,10.79182
BBTS8 (39),Buff,523.8048,13.24545,12.74948,12.22596,12.11392,10.67247,10.5227,10.34951,9.906992,9.539165
BBTS8 (4),Buff,485.1382,13.04405,12.2422,11.95822,11.3401,11.18778,10.75672,10.05802,9.823239,9.415031
BBTS8 (40),Buff,489.0189,13.67952,13.01334,11.83101,11.4361,11.10263,10.41107,10.20961,9.798628,9.669779
BBTS8 (42),Buff,486.8098,15.36747,13.8343,13.25804,11.88557,11.62837,11.36641,10.65407,10.0641,9.72026
BBTS8 (43),Buff,506.9232,14.11985,13.39316,11.9501,11.50567,11.1293,10.78277,10.36599,10.06548,9.988555
BBTS8 (44),Buff,495.7683,14.33712,13.60564,12.33171,12.12833,11.12839,11.00335,10.26489,9.760033,8.997774
BBTS8 (46),Buff,491.49,13.8532,12.7247,12.26341,11.74787,11.00656,10.93026,10.64036,10.35275,9.55736
BBTS8 (47),Buff,478.8609,13.92939,13.3697,12.88912,12.36494,11.59183,11.34387,10.9162,10.33356,9.746844
BBTS8 (48),Buff,487.053,15.55158,14.19364,12.80997,12.42399,11.82611,10.77836,10.59202,9.982195,9.725599
BBTS8 (5),Buff,500.7281,15.25362,15.19244,14.37956,13.46904,12.8621,12.29834,11.59577,11.40836,10.82067
BBTS8 (50),Buff,496.2662,12.54076,11.92321,11.25816,10.91623,10.80818,10.37861,10.08082,9.859234,9.476835
BBTS8 (51),Buff,470.8968,16.2534,15.54575,13.4554,13.17705,12.79161,12.58189,12.1412,11.53856,11.41267
BBTS8 (52),Buff,488.7622,13.33687,12.53372,11.82748,11.13339,10.8037,10.41301,10.11542,9.990813,9.67284
BBTS8 (53),Buff,475.53,12.22492,11.70203,11.59557,11.05709,10.60164,10.35165,9.978275,9.725329,9.256714
BBTS8 (54),Buff,509.354,13.56053,12.69926,11.89779,11.29293,11.15962,10.86817,10.45498,9.606778,9.404616
BBTS8 (55),Buff,513.21,14.79316,12.80529,12.63442,11.93342,11.89344,11.44257,11.03492,10.67914,10.12902
BBTS8 (57),Buff,458.4705,14.93696,13.24161,12.5669,12.21423,11.84683,11.29038,10.89499,10.55128,9.977118
BBTS8 (58),Buff,479.6764,13.77167,13.08237,12.90021,12.03023,11.23431,10.78593,10.43887,10.27264,9.917471
BBTS8 (59),Buff,477.0254,15.02569,13.50518,12.24906,11.75606,11.39401,10.88482,10.78946,10.64257,10.2098
BBTS8 (6),Buff,475.5716,13.6671,12.93562,12.53285,11.84321,11.52267,11.44195,10.84341,10.60756,10.22348
BBTS8 (60),Buff,473.4033,13.85601,13.65033,12.4221,12.31201,11.74282,11.21865,11.02977,10.20905,9.825942
BBTS8 (61),Buff,497.9276,15.42655,14.94095,13.78659,13.19189,12.41086,12.12737,11.32795,10.90797,10.76683
BBTS8 (62),Buff,472.8969,14.46874,12.69515,12.03136,11.91357,10.96489,10.41731,10.22536,9.85863,9.690194
BBTS8 (64),Buff,484.6977,13.70397,12.26581,11.64253,11.03972,10.72964,10.4881,10.20829,9.6273,9.227771
BBTS8 (66),Buff,466.7314,14.76711,13.98044,13.18676,12.04224,11.73644,11.53118,10.9753,10.65056,10.36347
BBTS8 (67),Buff,470.727,13.02636,12.73063,11.71594,11.20382,10.93957,10.31839,10.2956,10.09971,9.712556
BBTS8 (68),Buff,480.4146,13.79302,13.132,12.26759,12.12457,11.05752,10.54723,10.26685,9.998701,9.633454
BBTS8 (69),Buff,467.7507,14.38762,12.9883,12.61374,11.68034,10.90949,10.60295,10.44388,9.975706,9.726314
BBTS8 (7),Buff,502.0186,12.75306,12.06191,11.61642,11.46703,10.85989,10.47344,9.934245,9.602973,9.293212
BBTS8 (70),Buff,473.4734,14.83366,13.8167,13.02131,11.94099,11.69437,11.51085,10.92115,10.33709,10.1322
BBTS8 (72),Buff,497.6558,15.97773,14.98338,14.60014,13.29372,12.59894,11.83416,11.42221,10.7922,10.31096
BBTS8 (73),Buff,490.1534,14.8948,14.09879,12.9142,12.42244,11.42071,10.9264,10.53678,10.50764,9.953074
BBTS8 (75),Buff,498.2213,14.26815,13.08692,12.88994,12.16814,11.5771,11.45942,11.18275,10.79897,10.55725
BBTS8 (77),Buff,501.9342,14.67867,14.15395,13.39758,12.51527,12.0969,11.64809,11.29097,10.63244,10.41307
BBTS8 (78),Buff,482.806,13.67166,12.69593,12.23183,12.08528,11.76864,11.12432,10.64505,10.61456,10.39635
BBTS8 (79),Buff,477.6639,13.20508,12.79459,12.13132,11.61982,11.46688,11.34397,10.84555,10.1289,9.885409
BBTS8 (8),Buff,512.4151,12.68447,12.17317,11.55824,11.13959,10.8097,10.61131,10.36342,9.8974,9.774378
BBTS8 (80),Buff,473.567,14.07031,13.03876,12.4555,11.70833,11.45179,11.13591,10.66568,10.25757,9.844664
BBTS8 (81),Buff,492.0261,14.18529,12.88214,12.41997,11.82434,11.16697,10.60018,10.40116,10.15255,9.94545
BBTS8 (82),Buff,478.7255,12.39936,12.16595,11.78936,11.39304,10.62353,10.42545,10.06711,9.918498,9.741302
